id,job_title,career_level,experience_level,education_level,skills
1,Facility Maintenance & Smart Warehouse Manager,Manajer/Asisten Manajer,5 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['electrical inspection', 'management system', 'corrective and preventive action', 'preventive action', 'warehouse operation', 'electrical', 'communication skill', 'english', 'negotiation', 'quick response', 'positive', 'englishable', 'operate', 'sewing', 'boiler', 'compressors', 'installation', 'leadership', 'communication', 'program execute', 'forecast', 'budget', 'planning', 'track', 'audit']"
2,Procurement Department Head,Manajer/Asisten Manajer,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['heavy equipment', 'contract management', 'production engineering', 'mechanical engineering', 'industrial engineering', 'operational', 'budget', 'plan', 'negotiation', 'english']"
3,SALES ADMIN,Supervisor/Koordinator,4 tahun,Sarjana (S1),"['microsoft office', 'heat exchanger', 'carbon steel', 'api', 'com', 'internal sales', 'sales', 'resilient', 'english', 'systems knowledge', 'communication skill', 'petrochemical', 'fertilizer', 'power plant', 'valves', 'furnace', 'pipe', 'astm', 'stainless steel', 'flanges', 'gasket', 'gaskets']"
4,City Operation Lead Shopee Express (Cirebon),Supervisor/Koordinator,5 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['operation management', 'analytical skill', 'leadership style', 'management system', 'managing', 'operations', 'sorting', 'operation', 'accountable', 'supervise', 'learning development', 'logistics', 'problem solving', 'communication skills', 'operating']"
5,Japanese Interpreter,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['japanese', 'translator', 'english', 'non', 'translate']"
7,Admin Online Shop,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM","['e commerce', 'social medium', 'broadcast', 'marketplace']"
8,Accounting Staff,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['fix asset', 'analytical thinking', 'reconciliation', 'purchase', 'accounting', 'numbers', 'self motivated', 'english']"
9,MEP Design - Cikarang,Supervisor/Koordinator,4 tahun,Sarjana (S1),"['design review', 'structural engineering', 'engineering support', 'electronic engineering', 'manage', 'coordinate', 'drawings', 'professional', 'electrical', 'plumbing', 'sourcing', 'procurement', 'drawing', 'local policies', 'design engineering', 'engineering electrical', 'mechatronic', 'mechanical', 'management project', 'communication', 'coordination']"
10,Tax Supervisor,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['income tax', 'tax compliance', 'digital electronic', 'general ledger', 'tax law', 'construction engineering', 'article', 'numbers', 'financial transaction', 'reconciliation', 'withholding tax', 'accounting', 'operate', 'operate system', 'professional', 'communication skills', 'english']"
11,Odoo Developer / IT Full Stack Developer,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['system development', 'learn agility', 'mobile app', 'it infrastructure', 'willingness to learn', 'web development', 'programming concept', 'maintain code', 'html', 'css', 'fix', 'digitization system', 'infrastructure', 'integration', 'data analysis', 'working environment', 'developers business', 'analysts analyst', 'innovative', 'resilient', 'develop custom', 'git', 'client server', 'server http', 'session', 'codedeploy']"
12,Identity and Access Management Staff - IT,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['computer science', 'information science', 'management information system', 'information system', 'password management', 'management system', 'it infrastructure', 'management process', 'operating system', 'access control', 'access control matrix', 'network appliance', 'incident report', 'change request', 'siem', 'communication skill', 'communicate', 'high level', 'server network', 'firewall', 'including server', 'managed', 'administration user', 'system network', 'system database', 'network application', 'operational', 'access management', 'infrastructure']"
16,Property Sales,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['mobile app', 'digital marketing', 'sales', 'keras', 'closing']"
18,Sales Recruiter & Trainer,Supervisor/Koordinator,3 tahun,Sarjana (S1),"['business development', 'energetic', 'sales', 'massive']"
22,Sales Officer,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),"['write communication', 'effective sales', 'sales', 'positive', 'cooperation', 'economics', 'communication', 'marketing', 'marketing field', 'self motivate', 'english']"
25,Field Operation Lead (EXIM),Supervisor/Koordinator,3 tahun,Tidak terspesifikasi,"['certificate of origin', 'claim', 'exim', 'export import', 'operation']"
27,MARKETING COMMUNICATION & CHANNEL MANAGER,Manajer/Asisten Manajer,2 tahun,Tidak terspesifikasi,"['marketing communication', 'strategic communication', 'communication planning', 'corporate branding', 'social medium', 'plan develop', 'brand', 'budget', 'dissemination', 'marketing content', 'content manage', 'adapt', 'communication', 'milestones']"
28,Store Supervisor Manado Town Square,Supervisor/Koordinator,2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)","['customer service', 'operation', 'inquiries', 'closing', 'sales', 'operational', 'floor', 'store operational', 'safe', 'manager requirements', 'retail fashion', 'shifting schedule', 'communication', 'leadership communication', 'communication skills', 'communication skill']"
32,PPIC,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),"['warehouse management', 'inventory control', 'production planning', 'marketing plan', 'forecast', 'production plan', 'plan']"
33,Strategic Management Office Executive,Supervisor/Koordinator,3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['corporate strategy', 'strategic management', 'project management', 'project management office', 'corporate development', 'financial service', 'financial management', 'balanced scorecard', 'business performance management', 'performance management', 'business process', 'business process management', 'process management', 'market analysis', 'quality management', 'quality management system', 'management system', 'problem solve', 'plans', 'long term', 'ad hoc', 'data analysis', 'analysis market']"
34,"Technical Program Manager, Infosec",Tidak Terspesifikasi,,Tidak terspesifikasi,"['risk management', 'contingency plan', 'operation security', 'program management', 'program manager', 'information security', 'governance', 'operations', 'long term', 'communicate', 'predict', 'mitigation', 'communications', 'data driven decision', 'track', 'problem space', 'milestones', 'communication', 'write', 'active listener', 'empathy', 'collaboration', 'build teams', 'prioritize', 'machine learning', 'engineering systems', 'managing risks', 'business solutions', 'governance risk compliance', 'devsecops']"
35,C# Advanced/Senior Developer,Supervisor/Koordinator,2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['asp net', 'object orient programming', 'c', 'net asp']"
37,Internal Communication Officer,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['human capital', 'employee engagement', 'internal communication', 'strategic thinking', 'digital marketing', 'marketing management', 'social medium', 'management', 'plan develop', 'manage', 'communication', 'design content', 'coordinate', 'communicate', 'branding manage', 'plan', 'journalism', 'advertising media', 'english', 'editing', 'copywriting', 'supervision', 'creative', 'analytical']"
38,IT Software Developer Staff,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['information technology', 'restful api', 'spring boot', 'system development', 'css', 'html', 'xml', 'java php', 'javascript', 'json', 'codeigniter', 'postgresql', 'mysql']"
40,IT STAFF (CODE : IT),Pegawai (non-manajemen & non-supervisor),2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['information system', 'project implementation', 'asp net', 'asp net core', 'asp net core mvc', 'kendo ui', 'microsoft sql server', 'oracle database', 'store procedure', 'team foundation server', 'tdd', 'html', 'css', 'api', 'informatics', 'technology information', 'communication skill', 'english', 'software developer', 'object oriented', 'agile', 'c', 'r', 'web java', 'web technologies', 'java', 'script', 'telerik', 'sql', 'git']"
41,Backend Developer,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)","['operating system', 'asp net', 'software as a service', 'oop', 'compatible', 'agile development', 'development methodology', 'backend', 'java', 'php', 'laravel', 'python', 'software applications', 'web applications', 'angular', 'react']"
42,Digital Marketing Specialist,Pegawai (non-manajemen & non-supervisor),2 tahun,Tidak terspesifikasi,"['digital marketing', 'social medium', 'medium strategy', 'social medium analytic', 'social medium campaign', 'google analytic', 'social medium advertising', 'facebook ad', 'digital medium', 'seo', 'instagram ads', 'ads', 'verbal skills', 'communication', 'multitask', 'managing', 'brand', 'brand awarness', 'advertising', 'track', 'analytics']"
43,Supervisor Finance Accounting,Supervisor/Koordinator,2 tahun,Sarjana (S1),"['microsoft office', 'accountant', 'accounting', 'audit internal']"
46,Senior Manager - Manufacturing Operations,Tidak Terspesifikasi,,Tidak terspesifikasi,"['manufacture operation', 'quality cost delivery', 'strategy execution', 'hair care', 'material flow', 'production schedule', 'production line', 'manufacturing process', 'quality control', 'supply chain', 'supply chain management', 'chemical engineering', 'industrial engineering', 'mechanical engineering', 'electrical engineering', 'middle management', 'soap', 'consumer goods', 'leadership innovation', 'innovations', 'creative', 'manager', 'leadership', 'productivity quality', 'dms', 'operational plans', 'functional objectives', 'operations', 'quality cost', 'quality service', 'targets', 'product functionality', 'develop budget', 'budget controls', 'plans', 'collaborate', 'operational', 'managers', 'logistics', 'sales', 'develop plans', 'cost estimates', 'schedules', 'integrating', 'continuous improvement', 'key performance', 'supervise', 'coordinate', 'electronics engineer', 'operations manager', 'process', 'process engineer', 'analytical', 'think strategically', 'innovation', 'communications', 'collaborative', 'color', 'disability', 'hiv']"
48,ACCOUNTING,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)","['cash flow', 'packaging food', 'voucher', 'accounting', 'manager']"
